request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"84c4b1f3-7287-49b4-8565-53dc3d7df048",GET,/,"debug=true&locale=en",,302,,,,71013106802200,71013163148000,71013167504400
"d9404d79-b177-4513-b9ea-b0303d01ba02",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=411,,71013191768700,71013201954800,71017377659600
"f867d25f-feaa-4ea2-a64f-fb21a4a39ba5",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,71017485259100,71017494484400,71017495583700
"9f5d7847-710b-4b70-a6be-4510ef8faf7f",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,71017508220900,71017511771100,71017512905300
"ef655e5c-7060-4a69-b74b-768f4736aea5",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,71017518777200,71017520578100,71017521354800
"bb0c15b4-9519-4dee-bb5d-7bf9b8b14d96",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,71017529281500,71017532072100,71017532957200
"b54f9a69-b501-4732-ac21-2e190c2e713c",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,71017541387300,71017543402600,71017544269100
"890532f0-8bd1-41c9-a9e8-a194303af1b4",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,71017550728400,71017552597600,71017553537100
"456d12b4-4ffd-4c41-80e7-ac737ae60a12",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,71017559837900,71017563191100,71017564036100
"caf6e138-0b8b-433d-b3bc-0a85f953744c",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,71017570633800,71017572891900,71017573703700
"67bcede9-01a1-4be9-a8e0-735c7b5ce83b",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,71017582421200,71017585026300,71017585782600
"5243597d-8e73-4fc5-8fa2-e44cd1c397f0",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,71017590344100,71017592044200,71017592770300
"0c36573f-dd21-45d3-8bc5-b6c01356373a",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,71017601219700,71017602898300,71017603589800
"1c435ea0-d282-411d-92ef-22a491b4d017",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,71017609913300,71017611625700,71017612312000
"7882ab34-fab6-4c05-9b3f-3bab12e30195",GET,/images/banner.png,,,200,image/png,,,71017618649300,71017621120500,71017622459400
"3836f9ee-3618-48dd-afd0-62c64177c134",GET,/images/logo.png,,,200,image/png,,,71017657179400,71017661133800,71017662943900
"44c99dff-25ff-44b0-b440-54998cf2fd2f",GET,/images/favicon.ico,,,200,image/x-icon,,,71017675234900,71017683397100,71017684223300
"43853ce4-2c41-4925-b76e-50ade564b355",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,71017692679900,71017695622200,71017696318900
"896f2767-7c52-4808-8f3d-69bb7043d298",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-brands-400.woff2",,,200,application/font-woff2,,,71017705953300,71017708898300,71017710174500
"b769077d-cb6e-4c5b-9a7f-01351dd3eedc",GET,"/anonymous/system/sign-in",,,200,text/html;charset=utf-8,"password=&remember=false&service=367&username=",,71017720638800,71017732340600,71019458960500
"30553011-5bb2-4f84-a519-a9275bd5381c",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,71019485420400,71019486908800,71019487414400
"057bd94d-7765-4a60-a44a-8389fd65f3bc",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,71019491193700,71019492741200,71019493293800
"62822413-d084-40f0-b1d1-ca4597cace07",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,71019497417900,71019498929000,71019499492000
"bd521cee-9d4b-447f-b45f-9cc6f654e040",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,71019503755100,71019505321200,71019505933600
"829967f7-4bf0-4c62-88f3-319163fb08b0",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,71019511020100,71019512687700,71019513345700
